name;program_id;CIP;CIP_desc;College;Department;Program;Award;year
Mrs. Londyn Mills;483;190707;Family and Community services;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Family & Consumer Sci;Bachelor's Degrees;2001
Fronia Champlin;359;150699;Applied Trades;Career & Tech Ed;Technology;Applied Trades;Associate Degrees;2001
Jerrilyn Homenick;184;520903;Travel Industry Management;Career & Tech Ed;Business Education;Hospitality & Tourism;Certs of Achievement;2001
Arlen Macejkovic-Kulas;179;260502;Microbiology;College of Arts & Sciences;Natural Sciences;Microbiology;Doctoral Degrees;2001
Kenny Schroeder;305;260701;Zoology;College of Arts & Sciences;Natural Sciences;Zoology;Bachelor's Degrees;2001
Julianne Hansen;467; 10606;Plant Nursery Ops & Mgmt;Career & Tech Ed;Technology;Agriculture;Associate Degrees;2001
Ms. Adaline Schulist DVM;172;520401;Adm Asst/Secretarial Science;Career & Tech Ed;Business Education;Business Tech;Certs of Achievement;2001
Bill Ward;324;520301;Accounting;College of Business Admin;Business Administration;School of Accountancy;Master's Degrees;2001
Charisse Fisher;342;400404;Meteorology;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Meteorology;Master's Degrees;2001
Shira O'Hara PhD;122; 90101;Speech Communicatn & Rhetoric;College of Arts & Sciences;Arts & Humanities;Communication;Bachelor's Degrees;2001
Sharee Erdman;212;303301;Sustainability Studies;Career & Tech Ed;Business Education;Sustainable Science Management;Bachelor's Degrees;2001
Citlalli Roob-Vandervort;410;521101;International Management;College of Business Admin;Business Administration;International Management;Doctoral Degrees;2001
Marius Lindgren; 16;520701;Entrepreneurship;College of Business Admin;Business Administration;Entrepreneurship;Bachelor's Degrees;2001
Ronal Wiegand;486;512201;Pub Health Sci & Epidemiology;School of Social Work;School of Social Work;Public Health;Bachelor's Degrees;2001
Carolyn Williamson;304;100399;New Media Arts;Career & Tech Ed;Technology;New Media Arts;Associate Degrees;2001
Ayden Marvin-Ferry;257;470605;Diesel Mechanics;Career & Tech Ed;Technology;Diesel Mechanics;Certs of Achievement;2001
Maura Haag-Wisoky;187;160301;Chinese;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Doctoral Degrees;2001
Dr. Abner Boyer;268;141001;Electrical Engineering;College of Engineering;Engineering;Electrical Engineering;Master's Degrees;2001
Loring Braun;365; 11001;Food Science & Technology;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Hum Nutr, Food & Animal Sci;Master's Degrees;2001
Anaya Gleichner-Kuphal; 65;520201;Business Admin & Mgmt, General;Career & Tech Ed;Business Education;Management;Associate Degrees;2001
Luverne Emmerich;224;511201;Medicine;School of Medicine;School of Medicine;Medicine;Other;2001
Miss Lillia Fadel;321;520801;Finance;College of Business Admin;Business Administration;Finance;Bachelor's Degrees;2001
Rosario Turner;247;521101;International Management;College of Business Admin;Business Administration;Mgt & Industrial Rel;Bachelor's Degrees;2001
Rudolf Feeney;170;450101;Social Sciences;Social Sciences Division;Social Science;Social Science;Bachelor's Degrees;2001
Armani Murphy;193; 50202;American Indian/Native Studies;General & Pre-Prof Ed;Hawaiian Studies;;Associate Degrees;2001
Dante Jacobi-Breitenberg;299;130301;Curriculum & Instruction;College of Education;Education;Curriculum Studies;Master's Degrees;2001
Idell Emard;386; 40301;Urban & Regional Planning Prog;College of Arts & Sciences;Social Sciences;Urban & Reg Planning;Doctoral Degrees;2001
Mr. Almon O'Connell;268;141001;Electrical Engineering;College of Engineering;Engineering;Electrical Engineering;Master's Degrees;2001
Hollie Denesik-Zboncak;333;310505;Exercise & Sports Science;College of Education;Education;Kinesiology & Rehab Sci;Bachelor's Degrees;2001
Josefa Kihn; 96;160901;French;College of Arts & Sciences;Lang, Ling & Lit;Lang & Lit of Europe & Amer;Master's Degrees;2001
Myrtle Lueilwitz;370; 90101;Speech Communicatn & Rhetoric;College of Arts & Sciences;Social Sciences;Communications;Bachelor's Degrees;2001
Hellen Kihn;182; 30104;Global Environmental Science;College of Arts & Sciences;Social Sciences;Environmental Science;Bachelor's Degrees;2001
Ariane Lind-Considine;348;400501;Chemistry, General;College of Arts & Sciences;Natural Sciences;Chemistry;Master's Degrees;2001
Dr. Horton Swaniawski;  7;100202;Television Production;Career & Tech Ed;Technology;Television Production;Certs of Achievement;2001
Justice Kirlin;216;240103;Humanities;Humanities Division;Humanities;History;Bachelor's Degrees;2001
Kisha Farrell;151;140301;Agricultural Engineering;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Molecular Biosci & Bioeng;Doctoral Degrees;2001
Frona Jacobi;163;169999;Foreign Languages & Lit, Oth;Hawai`inuiakea Sch Hawn Knowledge;Hawaiian Language;Hawaiian;Bachelor's Degrees;2001
Donnie Corwin-Lueilwitz;170;450101;Social Sciences;Social Sciences Division;Social Science;Social Science;Bachelor's Degrees;2001
Holli Reinger; 33;120500;Food Service;Career & Tech Ed;Food Services;Culinary Arts;Certs of Achievement;2001
Donta Zemlak;354; 40301;Urban & Regional Planning Prog;College of Arts & Sciences;Social Sciences;Urban & Reg Planning;Master's Degrees;2001
Kali Conn DDS;277;520201;Business Admin & Mgmt, General;Professional Studies Division;Business Administration;General Business Admin;Bachelor's Degrees;2001
Ms. Rosalyn Huel DDS; 49;521201;Business Computer Info Sys;College of Business Admin;Business Administration;Management Information Systems;Bachelor's Degrees;2001
Ida Mertz PhD;115;160303;Korean;College of Arts & Sciences;Lang, Ling & Lit;East Asian Lang & Lit;Bachelor's Degrees;2001
Chanelle Ratke;141;260301;Botany;College of Arts & Sciences;Natural Sciences;Botany Program;Bachelor's Degrees;2001
Tyrese Zemlak;309;120500;Food Service;Career & Tech Ed;Food Services;Culinary Arts;Other;2001
Mr. Donaciano Cruickshank DDS;261;470201;Refrigeration & Air Cond;Career & Tech Ed;Technology;Refrigeration & Air Cond Tech;Certs of Achievement;2001
Colter Sauer;151;140301;Agricultural Engineering;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Molecular Biosci & Bioeng;Doctoral Degrees;2001
Mr. Luverne Gaylord I;310;470201;Refrigeration & Air Cond;Career & Tech Ed;Technology;Refrigeration & Air Cond Tech;Associate Degrees;2001
Okey Hessel;195;451101;Sociology;College of Arts & Sciences;Social Sciences;Sociology;Bachelor's Degrees;2001
Amie McCullough;335;470101;Electrical Install/Maint Tech;Career & Tech Ed;Technology;Electrical Install/Maint Tech;Certs of Achievement;2001
Waymon Crist V;457; 50207;Women's Studies;College of Arts & Sciences;Social Sciences;Gender & Women's Studies;Bachelor's Degrees;2001
Kiley Torp-Mosciski;271;470608;Aircraft Powerplant Technology;Career & Tech Ed;Technology;Aeronautics Maint Tech;Associate Degrees;2001
Buffy Botsford;283;142401;Ocean & Resources Engineering;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Ocean & Res Eng;Master's Degrees;2001
Codey Hagenes-Hamill;111;400201;Astronomy;College of Arts & Sciences;Natural Sciences;Physics & Astronomy;Master's Degrees;2001
Rosina Hoppe;459;400202;Astrophysics;College of Arts & Sciences;Natural Sciences;Physics & Astronomy;Bachelor's Degrees;2001
Mrs. Susanna Bosco MD;455;520201;Business Admin & Mgmt, General;Professional Studies Division;Business Administration;Hospitality and Tourism;Bachelor's Degrees;2001
Mrs. Cliffie Collins MD;285;480508;Welding;Career & Tech Ed;Technology;Welding Technology;Associate Degrees;2001
Braedon VonRueden;466;303301;Sustainability Studies;Career & Tech Ed;Technology;Sustainable Science Management;Certs of Achievement;2001
Cary Jacobson;411;500501;Drama & Theatre;College of Arts & Sciences;Arts & Humanities;Theater & Dance;Master's Degrees;2001
Miss Angelique Pouros PhD;232;380201;Religion;College of Arts & Sciences;Arts & Humanities;Religion;Master's Degrees;2001
Dorian Hartmann MD; 81;460000;Construction Trades, General;Career & Tech Ed;Technology;Sustainable Construction Tech;Associate Degrees;2001
Abelardo Jacobi-Volkman; 91;100303;Digital Media;Career & Tech Ed;Technology;Digital Media Production;Associate Degrees;2001
Brett White DDS;204;151202;Electronics & Comp Engin Tech;Career & Tech Ed;Technology;Electronics & Comp Engin Tech;Certs of Achievement;2001
Axel Von;223; 10301;Agriculture;Career & Tech Ed;Technology;Agriculture;Associate Degrees;2001
Robbin Jenkins;328; 11105;Plant & Environmtl Protect Sci;Col of Trop Ag & Human Res;Tropical Ag & Human Res;Plant & Env Protect Sci;Bachelor's Degrees;2001
Purl Gaylord;491;400401;Atmospheric Sci & Meteorology;Schl of Ocean & Earth Sci & Tech;Ocean & Earth Sci & Tech;Atmospheric Sciences;Doctoral Degrees;2001
Rudolph Douglas;256;460201;Carpentry;Career & Tech Ed;Technology;Carpentry Technology;Certs of Achievement;2001
Luella Windler;401;220202;Programs for Foreign Lawyers;School of Law;School of Law;Master in Law;Master's Degrees;2001
Hezzie Gutkowski;343;510204;Speech Pathology & Audiology;School of Medicine;School of Medicine;Speech Pathology & Audiology;Master's Degrees;2001
Ab Hand;466;303301;Sustainability Studies;Career & Tech Ed;Technology;Sustainable Science Management;Certs of Achievement;2001
Isidore Hayes;286;540101;History;College of Arts & Sciences;Social Sciences;History;Bachelor's Degrees;2001
